A-18262-19963       LARSEN & TOUBRO INFOTECH LIMITEDNEW JERSEY          113,776.00          
A-18262-20041       NORDSTROM, INC      WASHINGTON          91,395.00           
A-18262-20098       MORGAN STANLEY SERVICES GROUP INCNEW YORK            51,854.00           
A-18262-20126       LENDINGCLUB CORPORATIONCALIFORNIA          94,557.00           
A-18263-20263       CISCO SYSTEMS, INC. CALIFORNIA          127,543.00          
A-18263-20306       DELOITTE CONSULTING LLPPENNSYLVANIA        89,232.00           
A-18263-20316       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-20947       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-21002       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18264-21061       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18267-21324       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18267-21369       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18267-21370       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18267-21371       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18267-21372       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18267-21373       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18269-22591       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18269-22790       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            135,283.00          
A-18271-23572       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            127,878.00          
A-18274-23879       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23883       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23885       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23887       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23890       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23891       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23893       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23906       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23907       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23908       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23915       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18274-23917       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23918       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23919       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23921       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23923       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23927       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23929       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23931       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23934       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18274-23935       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               77,418.00           
A-18274-23939       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23948       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               79,706.00           
A-18274-23961       COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATIONTEXAS               93,475.00           
A-18274-23970       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-23971       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-23997       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-24036       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-24206       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-24233       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-24255       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
A-18274-24273       TATA CONSULTANCY SERVICES LIMITEDNEW YORK            115,565.00          
